"Sentence","Years.Incarcerated","Years.Convicted","Year.of.Release","Year.of.Exoneration","Year.of.Posting"
"68 years",2,27,1997,2022,2023
"62 years",7,7,2017,2017,2018
"70 years",21,27,2015,2021,2021
"Not sentenced",1,1,2000,2000,2013
"3 years",1,1,2016,2016,2017
"18 to 22 years",5,5,2012,2012,2012
"Life without parole",23,23,2021,2021,2021
"Life without parole",19,21,2014,2016,2016
"25 to life",18,18,2011,2011,2012
"48 years",22,27,2016,2021,2021
"Not sentenced",0,0,2014,2014,2015
"50 years",16,16,2021,2021,2021
"2 years",0,15,2005,2020,2021
"3 years",1,14,2007,2021,2021
"1 year",0,17,2004,2022,2022
"Death",16,16,2000,2000,2011
"Not sentenced",1,1,2019,2019,2019
"5 years",0,2,2013,2015,2015
"Life",24,24,2011,2011,2012
"Life without parole",27,27,2023,2023,2023
"6 years",0,0,2022,2022,2022
"24 1/3 to life",16,20,2013,2018,2018
"48 years",27,28,2015,2016,2016
"Unknown",0,19,2004,2023,2023
"60 years",17,17,2013,2013,2013
"12 to 24 years",9,9,1996,1996,2011
"Probation",0,3,1992,1996,2020
"Life",8,9,1997,1998,2011
"4 years",1,11,2010,2020,2020
"Life",14,18,2014,2019,2019
"2 years",0,3,1987,1989,2018
"Death",26,28,2020,2022,2022
"17 to 30 years",1,1,2024,2024,2024
"35 years",19,19,2006,2006,2011
"Life",24,26,2011,2013,2013
"1 1/2 to 3 years",1,1,2017,2017,2017
"45 years",9,12,2010,2013,2013
"3 years",3,3,1999,2000,2021
"60 years",29,35,2016,2022,2022
"Death",0,9,1985,1995,2011
"6 years",2,2,2015,2015,2017
"Life without parole",18,18,2014,2014,2014
"20 years",1,1,2001,2001,2011
"Life without parole",40,40,2023,2023,2023
"20 years",2,5,1999,2001,2011
"5 years",2,3,2013,2014,2014
"Life",42,42,2019,2019,2019
"60 years",24,26,2020,2022,2023
"25 years",6,38,1988,2020,2022
"Life without parole",32,32,2022,2022,2022
"22 years",10,10,2012,2013,2014
"80 years",15,15,2012,2012,2012
"Life without parole",10,10,2020,2020,2020
"Probation",0,18,2004,2022,2022
"227 days",0,3,1997,2000,2021
"54 to life",3,3,2000,2000,2020
"1 year and 9 months",2,3,2021,2022,2023
"15 years",0,2,1987,1989,2012
"12 years",9,11,2016,2017,2017
"Life without parole",0,21,1995,2017,2017
"1 year and 6 months",0,7,1993,2000,2018
"30 years",8,9,2011,2012,2015
"Life",9,9,1991,1991,2011
"42 to Life",32,35,2018,2022,2022
"Death",11,11,1991,1991,2011
"25 to 50 years",3,3,2013,2014,2014
"Life without parole",26,26,2022,2022,2022
"70 years",28,28,2013,2013,2013
"40 years",0,5,1989,1994,2011
"9 to 25 years",18,19,2000,2001,2011
"7 years",1,1,1999,1999,2012
"2 years",0,17,2005,2022,2022
"Probation",0,13,2007,2021,2021
"Death",15,15,2017,2017,2017
"12 years",6,7,1998,2000,2021
"Life",14,14,1994,1995,2011
"13 1/2 to 40 years",21,21,2006,2006,2011
"57 to life",5,5,2019,2019,2019
"Probation",0,0,2013,2014,2015
"60 days",0,3,2013,2016,2017
"15 to Life",1,5,1989,1993,2021
"55 years",20,39,2003,2022,2022
"Life without parole",15,16,2003,2003,2011
"Death",6,6,2000,2000,2011
"3 years",1,12,2009,2020,2020
"Life without parole",15,15,2021,2021,2021
"10 years",3,3,2011,2012,2012
"10 years",1,1,2015,2015,2015
"10 days",0,0,2014,2014,2014
"1 year",0,0,2023,2023,2023
"10 years",5,5,2020,2021,2021
"Life without parole",6,6,2022,2022,2023
"Life",17,20,2016,2018,2018
"3 years",0,3,2018,2021,2021
"23 years and 6 months",16,16,2010,2010,2011
"16 to 20 years",12,12,2005,2005,2012
"15 years",10,13,2007,2010,2011
"1 year and 3 months",0,3,2012,2015,2015
"Probation",0,0,2014,2014,2015
"40 to Life",6,6,2001,2001,2011
"1 year and 1 day",0,5,2009,2015,2016
"25 to Life",5,6,1991,1992,2013
"6 1/2 years",0,7,2015,2022,2022
"Life",11,12,2001,2002,2011
"90 years",14,14,2019,2019,2021
"2 years",1,1,2006,2006,2011
"3 years",0,2,1997,2000,2021
"25 to Life",27,27,2012,2012,2012
"Probation",0,4,2009,2013,2016
"Community service",0,1,1998,2000,2012
"25 to life",3,4,2017,2017,2017
"20 to 66 years",21,30,2003,2012,2012
"Probation",0,0,2018,2018,2021
"3 1/2 to 7 years",1,2,2000,2000,2011
"Probation",0,1,2014,2015,2015
"Death",23,23,2020,2020,2020
"Probation",0,19,1997,2017,2017
"Probation",0,2,2018,2021,2021
"8 years",5,7,2021,2023,2023
"50 years",18,18,2011,2011,2013
"18 years",4,4,2009,2009,2018
"35 to 50 years",7,7,2009,2010,2020
"16 years and 6 months",10,10,2013,2013,2013
"Probation",0,7,2014,2021,2022
"12 years",3,3,2003,2003,2022
"2 years and 8 months",2,3,1999,2000,2021
"2 years",0,14,2004,2018,2018
"Life without parole",13,13,2001,2001,2011
"Life",13,13,2001,2001,2011
"4 to 6 years",3,32,1986,2015,2016
"24 years",2,2,2008,2008,2016
"6 years",3,4,2018,2019,2020
"10 to 20 years",14,28,1999,2013,2013
"3 years and 6 months",3,6,2013,2016,2021
"Life without parole",1,7,2015,2021,2021
"Death",17,17,2003,2003,2011
"180 days",0,2,1998,2000,2021
"50 to life",16,17,2010,2011,2012
"Life",0,4,2003,2007,2011
"25 years",7,8,2014,2015,2015
"5 years",0,4,2006,2010,2013
"25 years",2,2,2003,2003,2011
"Life",21,21,2016,2016,2016
"Not sentenced",0,1,2001,2003,2013
"12 1/2 to 25 years",12,12,1996,1996,2011
"Death",3,3,2002,2002,2013
"Life",12,13,2009,2009,2011
"Life without parole",14,16,2019,2020,2021
"23 years and 4 months",2,2,1999,1999,2021
"Life without parole",7,7,2014,2015,2015
"25 years",25,33,2014,2021,2022
"Life",20,20,2008,2008,2011
"Probation",0,14,2007,2022,2022
"11 to 13 years",4,4,2018,2018,2022
"Probation",0,18,2004,2022,2022
"25 to life",3,5,2010,2012,2012
"2 to 4 years",0,0,2017,2017,2017
"10 to 20 years",9,32,1968,1991,2011
"25 to life",23,23,2020,2020,2020
"Not sentenced",1,1,2000,2000,2013
"25 years",3,3,2013,2013,2014
"3 years and 6 months",5,25,1990,2010,2011
"Death",5,5,1997,1997,2011
"Not sentenced",0,2,2012,2014,2015
"25 years",3,3,2007,2007,2011
"6 to 15 years",5,6,2011,2012,2015
"3 years",0,2,2000,2002,2016
"2 years",0,3,2005,2008,2017
"Life without parole",16,16,2016,2016,2016
"10 years",9,34,1995,2020,2020
"9 years",0,0,2001,2001,2013
"Life",2,2,1997,1997,2015
"14 years",3,4,1989,1990,2011
"30 years",14,14,2020,2020,2020
"Death",19,19,2001,2001,2011
"Life",24,24,1997,1997,2011
"Life",0,21,1973,1995,2023
"Life",0,23,1973,1997,2023
"30 years",7,8,2006,2006,2011
"Life",13,35,1969,1991,2012
"Life",17,18,2014,2015,2016
"Life",20,20,2014,2014,2014
"6 years and 6 months",2,2,2012,2012,2013
"Fine",0,5,2011,2017,2017
"Life",7,8,2018,2019,2019
"80 years",15,15,2015,2015,2018
"3 years and 6 months",0,5,2011,2016,2016
"Life",25,25,2019,2019,2020
"Life",2,3,1999,2000,2011
"1 year and 1 month",1,2,2016,2017,2017
"Not sentenced",0,2,2014,2017,2017
"6 years",2,13,2010,2020,2021
"Probation",0,15,2005,2021,2021
"Life without parole",18,18,2014,2014,2014
"29 years",8,40,1980,2012,2016
"30 years",7,7,2010,2010,2011
"Death",13,13,2003,2003,2011
"Life without parole",8,8,2018,2018,2018
"6 years",1,2,2008,2010,2011
"1 year and 8 months",1,3,2010,2012,2018
"5 years",0,7,2017,2024,2024
"8 to 24 years",11,11,2001,2001,2011
"10 to Life",4,4,1995,1995,2011
"5 years",3,8,2018,2024,2024
"2 years",0,12,2007,2019,2019
"2 years",0,17,2005,2022,2023
"1 year",0,2,1989,1991,2014
"27 years",14,27,2005,2018,2018
"5 years",5,33,1982,2010,2011
"Not sentenced",3,3,2003,2003,2011
"4 years",2,9,2011,2018,2018
"60 years",16,16,2015,2015,2015
"10 years",1,1,2002,2002,2011
"30 to Life",23,24,2022,2023,2023
"3 to 9 years",2,4,1991,1993,2014
"1 to 3 years",0,3,1990,1993,2014
"Life",8,8,2011,2011,2014
"Death",13,13,2012,2012,2012
"20 years",10,10,2006,2006,2011
"Life",11,11,2013,2013,2013
"25 to life",15,15,2012,2012,2012
"25 to life",0,16,1997,2013,2013
"4 3/4 years",3,6,2004,2006,2012
"13 years",7,7,2019,2019,2019
"3 years",0,2,2002,2005,2015
"Not sentenced",0,0,2001,2001,2012
"30 days",0,0,2015,2016,2016
"20 years",3,5,2000,2001,2020
"22 to Life",20,22,2021,2023,2023
"2 years",0,13,2009,2022,2022
"8 years",4,5,2013,2014,2015
"Life",29,29,2017,2017,2017
"Life without parole",17,18,2020,2021,2021
"Not sentenced",0,1,2007,2008,2011
"3 years",1,17,2006,2022,2022
"20 to 40 years",4,5,1995,1996,2020
"7 to 14 years",9,26,2001,2018,2018
"43 years",4,5,2006,2007,2012
"2 years",2,3,1998,2000,2021
"7 months",0,0,2014,2014,2015
"Life without parole",15,15,2014,2014,2014
"1 to 15 years",16,22,2007,2012,2013
"Not sentenced",1,1,1995,1995,2013
"Life",16,17,2005,2006,2011
"Not sentenced",0,0,1990,1990,2014
"4 years",1,8,2014,2021,2022
"5 to life",1,1,1997,1998,2015
"Life",2,4,1997,2000,2012
"15 to life",2,2,2001,2001,2013
"90 days",0,6,2009,2016,2016
"10 days",0,0,2015,2015,2015
"Life",0,0,2012,2012,2013
"92 years",13,15,2021,2022,2022
"2 months",0,2,2011,2014,2014
"12 years",11,23,2002,2014,2014
"30 years",12,19,2007,2014,2014
"Life without parole",45,45,2017,2018,2018
"7 to 22 1/2 years",0,50,1972,2022,2022
"3 years",1,4,1992,1995,2018
"40 years",24,26,2007,2008,2011
"Life",15,17,2006,2008,2011
"Life",5,5,2001,2001,2012
"20 to life",5,5,2000,2000,2013
"Not sentenced",0,0,2004,2004,2012
"65 years",14,14,2001,2001,2011
"6 months",0,0,2014,2015,2015
"Life",18,18,2010,2010,2011
"25 to life",12,12,2015,2015,2015
"60 years",20,20,2016,2016,2016
"Probation",0,7,2009,2016,2017
"Life",26,26,2011,2011,2011
"40 to life",3,3,2008,2009,2015
"120 days",0,9,2006,2016,2016
"65 years",24,24,2016,2016,2016
"15 to 25 years",3,3,1994,1994,2011
"5 years",2,2,2010,2010,2016
"6 months",0,0,2014,2014,2015
"80 years",15,17,2020,2022,2022
"20 years",20,25,2014,2019,2019
"Unknown",0,1,2010,2010,2022
"Life",4,5,1990,1991,2011
"Life",4,5,1990,1991,2011
"20 years",7,7,2008,2008,2012
"10 days",0,1,2005,2006,2017
"24 years",14,14,2015,2015,2015
"15 1/2 to 22 years",6,8,2007,2009,2021
"10 years",2,2,2011,2011,2023
"6 months",0,0,2014,2015,2015
"14 to 18 years",4,4,2003,2003,2011
"25 to life",4,4,1997,1997,2014
"Life without parole",31,31,2021,2021,2021
"45 years",14,14,2001,2001,2011
"180 days",0,4,2014,2018,2018
"Life",35,36,2021,2022,2022
"Life",19,19,2010,2010,2011
"Death",15,15,1999,1999,2011
"60 years",13,13,2011,2011,2012
"Life",14,14,2002,2002,2011
"Life without parole",2,2,2012,2012,2013
"1 year and 6 months",0,16,2004,2020,2020
"2 years",2,15,2003,2017,2017
"12 to 20 years",11,11,2004,2004,2011
"Life",16,16,1992,1992,2011
"2 years",0,7,2010,2017,2017
"Probation",0,3,2000,2003,2022
"Death",12,12,2009,2009,2011
"45 to 75 years",11,11,2019,2019,2019
"20 years",13,13,2009,2009,2017
"25 to Life",24,26,1997,1999,2011
"12 1/2 to 25 years",6,6,1995,1995,2014
"6 to 12 years",1,1,1995,1995,2011
"60 years",22,22,2017,2017,2017
"10 years",7,7,2012,2012,2014
"Death",4,4,2003,2003,2011
"Life",8,8,1994,1995,2011
"32 to 62 years",8,9,2009,2010,2011
"Probation",0,0,2022,2022,2023
"Life without parole",18,18,2020,2020,2020
"43 years",14,14,2022,2022,2022
"Life without parole",22,24,2017,2019,2019
"3 1/2 to 6 years",2,2,2004,2004,2011
"Life",7,7,1993,1993,2011
"40 years",4,7,2021,2024,2024
"Life",25,26,2019,2020,2020
"40 years",2,6,1996,2001,2012
"25 to life",22,22,2015,2015,2015
"Probation",0,3,2009,2013,2016
"Death",5,5,2003,2003,2011
"Not sentenced",0,0,2000,2000,2011
"20 years",7,31,1999,2023,2023
"6 years",4,5,2017,2019,2019
"Probation",0,1,1998,1999,2011
"40 years",5,7,2008,2011,2011
"Life",9,10,2005,2005,2011
"45 days",0,0,2014,2014,2014
"Probation",0,14,2003,2017,2018
"Life",17,17,1996,1996,2011
"4 1/2 years",0,3,2018,2021,2021
"10 to 15 years",2,3,1991,1992,2014
"10 to 20 years",13,13,2010,2010,2014
"Life",25,25,2023,2023,2023
"37 1/2 years",14,18,2012,2016,2016
"Life",9,9,2008,2008,2011
"6 1/2 years",2,2,2003,2003,2012
"Not sentenced",0,0,2018,2018,2019
"8 1/3 to 25 years",7,9,1992,1994,2012
"Probation",0,7,1993,2000,2015
"Death",18,18,2022,2022,2022
"10 years",10,16,2001,2008,2014
"6 years",3,17,2007,2022,2022
"2 years",0,1,2010,2011,2022
"37 1/2 to Life",21,21,2013,2013,2013
"4 to 6 years",5,5,2009,2009,2017
"14 7/12 to 19 years",0,21,1999,2021,2022
"Life",17,18,2015,2016,2016
"Not sentenced",0,1,2020,2021,2021
"Life",16,18,2020,2023,2023
"65 years",2,4,2004,2006,2011
"Life",15,15,1999,1999,2011
"3 months",0,4,2010,2014,2015
"25 to life",6,6,2018,2018,2018
"12 years",11,11,2023,2023,2024
"16 to 30 years",15,15,2007,2007,2014
"27 years",14,17,2020,2023,2023
"Life",3,3,1997,1997,2011
"20 to 30 years",7,7,2009,2009,2011
"Life without parole",3,3,2017,2017,2017
"20 to 32 years",7,7,2009,2009,2011
"4 days",0,1,1997,1998,2018
"Life without parole",26,26,2021,2021,2022
"Life",21,27,2009,2015,2015
"15 to 50 years",10,10,1999,1999,2016
"Life without parole",18,18,2009,2009,2011
"Life without parole",34,34,2013,2013,2013
"Life",11,11,2023,2023,2023
"Not sentenced",1,2,2003,2003,2017
"Life",0,32,1990,2023,2023
"12 years",5,5,2003,2003,2011
"6 years",3,5,2016,2018,2019
"90 days",0,6,2017,2023,2023
"25 to Life",4,4,2002,2002,2011
"Life",2,2,2002,2002,2011
"20 to Life",16,16,2007,2007,2011
"33 years and 4 months",16,19,2003,2005,2011
"Life without parole",2,2,1998,1998,2013
"12 years",1,18,1993,2010,2020
"10 months",0,2,2014,2015,2015
"25 years",13,29,2007,2023,2023
"69 years",9,9,1997,1997,2011
"38 years",23,40,2006,2023,2023
"25 years",0,5,2009,2014,2014
"149 years",14,18,2018,2021,2021
"52 1/2 to life",37,37,2023,2024,2024
"30 to 60 years",10,11,2023,2024,2024
"25 to life",18,18,2016,2016,2016
"30 years",2,5,2014,2016,2017
"30 years",17,18,2013,2013,2013
"40 years",13,14,2011,2012,2012
"Death",20,20,1989,1989,2011
"Life",7,9,1996,1999,2011
"1 year",1,1,2000,2001,2014
"5 to 10 years",6,12,1997,2002,2011
"Life",3,5,2014,2017,2017
"10 days",0,0,2016,2016,2016
"30 to 60 years",24,24,2017,2017,2017
"Community service",0,2,2011,2014,2014
"36 years",17,31,2008,2022,2022
"4 years",4,5,2021,2023,2024
"Not sentenced",0,2,2004,2006,2011
"10 years and 1 month",1,1,2004,2004,2011
"7 years",1,1,2000,2000,2021
"Death",2,2,1999,1999,2011
"15 years",15,18,2013,2016,2016
"45 years",21,24,2019,2022,2022
"80 years",21,21,2011,2011,2011
"Life",0,0,2008,2008,2011
"Life",18,18,2012,2012,2012
"2 years",1,2,2004,2005,2012
"Life",17,17,2016,2016,2016
"30 days",0,1,2015,2016,2016
"Probation",0,16,2006,2021,2021
"Probation",0,0,2014,2015,2015
"4 years",1,17,2005,2021,2021
"50 years",5,10,1997,2002,2011
"15 to life",19,19,2018,2018,2018
"Life",8,9,2004,2005,2016
"Life without parole",11,11,2019,2019,2019
"15 years",9,9,2014,2014,2014
"33 years",15,16,2015,2015,2015
"7 years",17,17,2014,2014,2014
"Probation",0,15,1996,2012,2012
"55 years",10,10,2022,2022,2023
"27 years",9,13,1996,2000,2011
"10 years",0,3,2001,2003,2022
"2 years",0,12,2008,2020,2020
"Life without parole",16,16,2018,2018,2018
"5 years",4,4,2010,2010,2011
"7 years",1,1,1991,1991,2011
"Life",12,12,2007,2007,2011
"20 years",17,17,2020,2020,2020
"60 years",25,25,2023,2023,2023
"Not sentenced",0,5,2011,2017,2020
"7 months",0,0,2012,2012,2014
"Death",3,16,1980,1993,2011
"Not sentenced",0,0,1991,1991,2012
"35 to Life",7,10,2005,2008,2011
"5 years",1,1,2008,2008,2019
"Life",0,9,2003,2013,2014
"Probation",0,3,2017,2021,2021
"6 months",0,8,2008,2016,2016
"20 years",9,12,2011,2014,2014
"Probation",0,5,2012,2018,2020
"60 years",2,2,2000,2000,2011
"25 years",15,28,2008,2022,2022
"48 days",0,2,2015,2018,2020
"Not sentenced",0,0,2014,2014,2016
"25 to life",26,29,2017,2019,2020
"60 years",16,17,2004,2005,2011
"25 to Life",3,3,2007,2007,2011
"10 years",2,3,2010,2011,2011
"Probation",0,13,2005,2019,2020
"5 years and 6 months",4,4,2000,2000,2012
"90 years",21,21,2018,2018,2018
"25 to Life",19,21,2019,2021,2021
"Life",5,5,2013,2013,2013
"12 years",10,15,2009,2014,2014
"29 to 48 years",5,5,2022,2022,2022
"20 years",11,11,2002,2002,2011
"15 to Life",3,6,1995,1998,2011
"6 years",2,2,1999,1999,2021
"2 days",0,3,2013,2016,2016
"1 year and 25 days",2,2,2015,2015,2022
"Unknown",1,1,2009,2009,2022
"8 years",3,3,2008,2008,2013
"62 1/2 to 125 years",9,9,2016,2016,2017
"29 to life",4,4,1996,1996,2012
"75 years",10,10,2004,2004,2011
"43 years and 6 months",30,30,2021,2021,2021
"60 years",18,18,2008,2009,2011
"Probation",0,2,1987,1990,2014
"Probation",0,15,2005,2021,2021
"1 year",2,2,1999,1999,2021
"180 days",0,4,1996,2000,2021
"57 years",28,31,2019,2022,2024
"25 to life",17,17,2016,2016,2016
"Life",31,34,2014,2017,2017
"23 years",5,5,2000,2000,2012
"27 years",8,9,2004,2005,2011
"50 years",9,11,2013,2015,2015
"2 years",2,9,2016,2023,2024
"25 to life",6,6,2013,2013,2013
"15 years",2,2,1991,1992,2021
"35 years",2,2,2012,2012,2014
"55 years",14,15,2020,2021,2021
"Not sentenced",0,1,2019,2021,2021
"7 years",5,5,2017,2017,2017
"31 to Life",15,15,2019,2019,2019
"2 years",1,5,2011,2016,2016
"Life",6,6,1993,1993,2014
"Life",20,20,2003,2003,2011
"Life",21,30,2002,2011,2011
"20 to 40 years",13,27,2010,2024,2024
"Life",21,21,2016,2016,2016
"Probation",0,0,2009,2010,2022
"8 1/3 to 25 years",24,34,2009,2020,2020
"17 1/2 years",10,10,2010,2010,2012
"50 years",10,10,1990,1990,2011
"Fine",0,4,1997,2001,2018
"Probation",0,11,2012,2023,2023
"Probation",0,2,2016,2018,2019
"40 to 80 years",3,3,2017,2017,2017
"Not sentenced",0,0,2020,2020,2020
"15 years",6,6,1996,1996,2011
"35 years",13,18,2005,2010,2020
"Life without parole",33,33,2019,2019,2019
"1 year",1,2,1998,2000,2021
"25 to life",14,14,2018,2018,2018
"22 years",1,2,1992,1993,2017
"5 to 10 years",6,12,1997,2002,2011
"32 years and 9 months",26,26,2023,2023,2023
"30 years",5,5,1997,1997,2011
"6 years",1,1,2018,2018,2020
"16 years",2,2,2015,2015,2015
"Probation",0,2,2005,2007,2015
"Probation",0,2,2005,2007,2015
"Probation",0,2,2005,2007,2015
"45 to Life",32,32,2023,2023,2023
"Life without parole",8,8,2019,2019,2019
"Life without parole",14,14,2018,2018,2018
"27 to 42 years",7,7,2019,2019,2019
"Life",28,32,1997,2001,2011
"Not sentenced",0,1,2008,2009,2012
"Probation",0,4,2012,2016,2016
"Life without parole",8,8,1991,1991,2011
"45 years",3,3,2018,2018,2018
"Life",24,24,2021,2021,2021
"10 days",0,4,2011,2015,2016
"15 years",0,0,2007,2007,2011
"21 to life",25,25,2018,2018,2019
"Probation",0,11,2006,2017,2018
"80 years",19,19,2014,2014,2014
"2 years",0,0,2015,2015,2015
"7 years",2,2,2012,2012,2012
"21 years",1,1,2016,2016,2016
"39 to 90 years",8,8,2016,2016,2016
"148 years",9,9,2009,2009,2012
"5 to 10 years",12,12,2002,2002,2011
"90 years",25,28,2019,2022,2023
"Life",24,25,2022,2023,2023
"12 years",0,0,2002,2003,2011
"6 years",2,5,2001,2004,2013
"Life",3,4,1988,1990,2011
"Not sentenced",0,1,1999,1999,2011
"13 years and 2 months",5,5,2009,2009,2019
"4 years",3,3,2012,2012,2014
"10 to 15 years",9,13,1997,2000,2011
"4 years",2,10,2009,2017,2018
"3 years",1,17,2006,2022,2022
"40 years",13,13,2011,2012,2012
"Life without parole",13,13,2001,2001,2011
"50 to 100 years",29,37,2006,2015,2015
"22 to 32 years",0,10,1992,2003,2012
"3 years",0,17,2005,2022,2022
"12 years",3,3,2013,2013,2013
"14 to 28 years",2,2,2006,2006,2013
"Life without parole",25,25,2013,2013,2013
"Probation",0,4,1995,1999,2011
"25 years",19,21,2015,2017,2017
"6 months",0,6,1993,1999,2011
"Not sentenced",0,0,1999,1999,2011
"23 years",1,1,2019,2019,2020
"1 year and 4 months",0,1,2015,2016,2017
"11 years",10,10,2009,2009,2013
"Life",22,22,2023,2023,2023
"1 year",0,23,2000,2023,2023
"25 years",20,20,2003,2003,2011
"Probation",0,11,2006,2017,2018
"Life",12,12,2009,2009,2011
"25 years",3,8,2001,2006,2020
"Life without parole",18,18,2018,2018,2018
"Life",20,21,2016,2016,2016
"Life",6,7,2009,2009,2011
"Probation",3,3,2020,2020,2020
"Life",14,15,2001,2002,2011
"25 years",0,5,1983,1989,2011
"14 years",5,43,1981,2019,2019
"25 to Life",18,21,2020,2023,2023
"40 years",7,7,1993,1993,2011
"Life without parole",0,0,2015,2015,2015
"Life without parole",15,17,2021,2022,2022
"2 years",0,13,2009,2022,2022
"2 months",0,1,2014,2015,2015
"10 to 25 years",11,11,1999,1999,2012
"31 years",22,22,2008,2008,2013
"6 months to 5 years",0,1,2002,2003,2011
"8 months",0,2,1995,1997,2011
"55 years",21,21,2016,2016,2016
"Life",17,17,2005,2005,2011
"5 days",0,3,2018,2021,2021
"Not sentenced",0,1,2016,2017,2017
"10 years",8,11,2008,2011,2012
"8 years",4,5,2013,2014,2015
"4 years",1,4,2015,2018,2018
"20 to life",26,26,2015,2015,2015
"Life without parole",6,7,2017,2018,2018
"4 months",0,16,2006,2022,2022
"20 years",8,17,2002,2011,2012
"Life",24,24,2019,2019,2019
"5 years",0,0,1997,1998,2012
"6 years",2,5,2015,2018,2019
"4 years",1,1,2009,2009,2022
"8 2/3 to 11 5/12",4,4,2021,2021,2021
"5 to life",2,3,1989,1990,2015
"10 years",5,19,1994,2009,2011
"Probation",0,3,2000,2003,2022
"10 7/12 to 13 1/2 years",2,2,2014,2014,2016
"5 years",2,2,2003,2003,2023
"20 years",17,25,2011,2019,2019
"1 year",1,14,2008,2022,2022
"4 years",0,11,2007,2018,2018
"4 years and 6 months",1,9,2009,2018,2018
"4 years and 3 months",1,13,2006,2018,2018
"15 years",5,40,1978,2012,2016
"30 years",10,10,1995,1995,2011
"15 to Life",12,12,2001,2001,2011
"6 months",0,1,1989,1991,2011
"4 years",2,2,2018,2018,2019
"3 years",0,5,2015,2020,2020
"Life",26,26,2018,2018,2019
"12 years",6,6,2009,2009,2011
"Probation",0,14,2001,2016,2016
"Life without parole",27,27,2010,2010,2012
"Life",4,4,1998,1998,2011
"Probation",0,1,1988,1989,2015
"5 years",2,20,1992,2009,2011
"10 years",2,4,2011,2014,2014
"Life without parole",24,24,2016,2016,2016
"55 years",20,20,2017,2018,2018
"Life",9,9,2008,2008,2011
"Life without parole",34,34,2018,2018,2018
"30 to life",12,12,2011,2011,2013
"5 years",1,1,2015,2015,2015
"Life without parole",4,4,2010,2010,2013
"46 years and 8 months",22,22,2019,2019,2019
"Life",4,5,2003,2003,2014
"Life",23,23,2019,2019,2019
"Death",48,48,2023,2023,2023
"15 to 30 years",6,6,2018,2018,2019
"1 year and 1 day",1,2,2008,2010,2011
"Life",11,11,2009,2009,2011
"Life",22,22,2000,2000,2013
"12 days",0,0,2016,2016,2016
"100 years",44,44,2022,2022,2022
"37 years",15,15,2014,2014,2014
"4 years",1,8,2011,2019,2019
"7 years",0,2,1992,1994,2013
"35 years",16,24,2011,2019,2019
"6 months",0,17,2004,2022,2022
"5 years",2,5,1997,2000,2011
"Not sentenced",0,5,2001,2007,2011
"20 to Life",11,18,2013,2020,2020
"10 years",6,6,2018,2018,2019
"Life",22,23,2011,2012,2015
"Life",10,10,2009,2009,2013
"1 year",0,11,2011,2022,2022
"Life",36,36,2015,2015,2015
"30 years",3,4,2017,2019,2019
"Life",27,27,2016,2016,2016
"1 year and 6 months",1,2,2011,2012,2017
"10 years",3,4,2019,2020,2021
"40 years",18,31,2002,2015,2017
"Life",19,19,2006,2006,2011
"6 months",0,7,2009,2016,2016
"Death",7,7,1991,1991,2011
"38 years",2,2,1993,1993,2011
"16 years",3,3,2012,2012,2017
"Not sentenced",0,1,2014,2016,2016
"Life",2,2,2012,2012,2013
"12 years",3,3,2003,2003,2022
"3 months",0,2,2014,2016,2016
"2 years",0,2,2013,2015,2015
"Life without parole",7,7,2018,2018,2019
"Death",13,14,2000,2000,2011
"180 days",0,1,2015,2016,2016
"Death",6,6,1992,1992,2011
"Life",17,17,2012,2012,2012
"Life",13,13,2000,2000,2014
"Not sentenced",0,0,2002,2002,2012
"15 to life",14,14,2003,2003,2020
"Life without parole",26,26,2021,2021,2021
"20 years",5,6,2016,2017,2018
"Life without parole",11,11,2021,2021,2021
"67 years",17,17,2021,2021,2021
"Probation",0,16,1995,2012,2012
"Life without parole",15,15,2009,2009,2012
"30 to 90 years",14,27,2009,2022,2022
"4 years and 8 months",1,11,2011,2022,2022
"67 years",20,21,2021,2021,2021
"2 to 8 years",1,1,2008,2008,2022
"Life without parole",30,30,2020,2020,2020
"1 month",0,1,1998,2000,2012
"Death",12,12,1999,1999,2012
"Life",20,20,2004,2004,2011
"10 years",4,4,2011,2011,2014
"Probation",0,13,2004,2017,2018
"20 years",4,4,2006,2006,2011
"Probation",0,14,2008,2022,2022
"Not sentenced",3,3,2024,2024,2024
"78 to Life",9,9,1996,1996,2011
"Life",18,18,1996,1996,2012
"6 years",3,3,2003,2003,2022
"Unknown",0,0,2018,2018,2020
"Probation",0,6,2006,2012,2013
"25 to Life",23,36,2011,2024,2024
"15 years",2,2,2015,2015,2015
"7 years and 6 months",4,4,2003,2003,2011
"50 to Life",12,12,1998,1998,2012
"45 years",6,6,1993,1993,2011
"Death",17,17,2017,2017,2018
"Life without parole",23,23,2023,2023,2023
"Life",1,1,2008,2008,2011
"Life",22,31,2009,2018,2018
"Life without parole",20,20,2018,2018,2018
"10 years",7,7,2003,2003,2011
"Life",4,4,1995,1995,2011
"72 years and 8 months",16,16,2024,2024,2024
"Life without parole",41,41,2023,2023,2023
"20 to Life",20,30,1995,2005,2011
"20 to 60 years",13,13,2005,2005,2011
"Probation",0,6,1990,1996,2013
"Probation",0,6,1990,1996,2013
"Life without parole",15,15,2023,2023,2023
"Not sentenced",0,3,2018,2021,2021
"15 years",2,3,2017,2018,2018
"30 to Life",9,9,2023,2023,2023
"Life",19,25,2004,2010,2011
