"Sentence","Years.Incarcerated","Years.Convicted","Year.of.Release","Year.of.Exoneration","Year.of.Posting"
"12 years",9,11,2016,2018,2018
"20 to Life",31,43,2008,2019,2019
"5 years",2,14,2010,2022,2022
"20 to life",20,48,1992,2020,2020
"Life",16,16,2000,2000,2011
"Life",15,17,1993,1995,2014
"Death",5,5,1995,1995,2011
"15 to life",19,20,2022,2024,2024
"10 years",1,1,2005,2005,2013
"Probation",0,17,2004,2022,2022
"1 year and 6 months",0,11,2007,2019,2019
"Life",11,12,1997,1997,2011
"4 years",4,10,2001,2008,2017
"12 years",4,5,2019,2020,2023
"87 to life",27,28,2023,2023,2023
"99 years",5,23,1998,2017,2017
"Life without parole",4,4,2017,2017,2017
"40 years",11,11,2008,2008,2011
"25 years",20,20,2022,2022,2022
"Life",21,21,2011,2011,2011
"10 years",5,5,2010,2010,2012
"27 to 35 years",17,20,2020,2023,2023
"27 to Life",19,19,2011,2011,2011
"17 to 32 years",15,15,2022,2022,2022
"25 to 50 years",5,5,1992,1992,2011
"Life without parole",24,24,2020,2020,2020
"Not sentenced",1,1,1992,1992,2011
"3 years and nine months to 11 years",7,27,2003,2023,2023
"12 to 16 years",12,12,2015,2015,2015
"9 to 40 years",4,4,2013,2014,2014
"Life",11,11,2013,2013,2013
"Not sentenced",0,0,2017,2017,2019
"Life",6,6,2023,2023,2023
"Probation",0,2,2005,2007,2018
"4 years",1,4,2005,2008,2016
"55 years",17,17,2016,2016,2016
"28 years",10,10,2020,2020,2020
"2 years and 8 months",1,2,2000,2000,2021
"55 years",7,7,2012,2012,2012
"Life without parole",9,9,2009,2009,2011
"8 years",1,2,2017,2018,2018
"1 year",0,4,2009,2014,2021
"20 years",3,3,2012,2012,2021
"Life",7,7,1996,1996,2011
"7 months",0,8,2010,2018,2018
"6 months",0,0,2005,2005,2012
"15 years",5,5,2015,2015,2018
"10 years",1,2,2020,2021,2021
"15 to Life",5,5,2022,2022,2022
"11 to 35 years",20,20,2007,2007,2011
"2 years",0,0,2014,2014,2014
"Life",25,25,2009,2010,2011
"8 to 25 years",10,10,2007,2007,2011
"15 to 30 years",7,7,2007,2007,2011
"Not sentenced",0,0,2000,2000,2013
"4 years",3,4,2015,2017,2017
"Probation",0,9,2014,2023,2023
"26 years",10,24,2002,2017,2017
"5 years",0,3,2016,2020,2020
"85 years",27,28,2022,2023,2023
"14 to 40 years",7,28,2001,2022,2022
"12 years",1,1,2000,2000,2011
"Life without parole",16,16,2022,2022,2022
"5 years",0,0,2014,2014,2014
"Life without parole",12,12,2020,2020,2020
"7 years and 3 months",1,2,1997,1997,2012
"Life",21,21,2016,2016,2016
"Life",20,21,2016,2016,2016
"20 years",1,11,2009,2019,2020
"Life",3,10,1997,2004,2012
"1 year",0,1,1998,2000,2021
"8 years",6,7,2021,2023,2023
"2 years",2,2,2000,2000,2020
"Life",18,18,2011,2011,2011
"Not sentenced",0,1,2013,2015,2015
"Life",35,35,2010,2010,2011
"Life",26,31,2016,2021,2021
"6 to 20 years",16,23,2008,2015,2015
"Life",8,8,1996,1996,2011
"4 years and 6 months",1,12,2008,2019,2019
"1 year and 2 months",0,5,2007,2013,2013
"Not sentenced",0,0,1990,1990,2014
"9 years",2,10,2010,2017,2017
"14 years",3,4,1992,1992,2013
"Life",8,11,2019,2022,2022
"25 to 50 years",3,5,2018,2020,2021
"Probation",0,0,2015,2016,2016
"26 years",2,2,2015,2016,2016
"Life",35,36,2022,2023,2023
"Life",0,5,2014,2019,2019
"50 years",9,9,2008,2008,2011
"10 to 20 years",1,1,2019,2019,2019
"5 years",1,1,2010,2010,2022
"Probation",0,8,1985,1993,2018
"48 years",9,9,2001,2001,2011
"25 years",12,20,2006,2014,2017
"3 years and 8 months",2,4,2016,2018,2019
"90 days",0,0,2014,2014,2014
"50 years",9,9,2021,2021,2021
"20 days",0,1,2015,2017,2017
"35 years",5,5,2003,2003,2014
"35 years",7,7,2000,2000,2011
"1 year and 9 months",0,10,1994,2004,2014
"2 to 15 years",3,15,2009,2021,2021
"Life",1,3,1993,1995,2013
"4 years",1,1,2013,2013,2016
"1 year and 6 months",0,17,2007,2024,2024
"6 years",1,2,1999,2000,2014
"1 to 5 years",5,5,2011,2011,2013
"16 to 37 years",4,4,2009,2009,2013
"Not sentenced",0,0,2016,2016,2019
"12 to 24 years",7,7,1995,1995,2011
"5 to 7 years",4,5,2013,2014,2016
"Life without parole",40,40,2020,2020,2020
"30 days",0,13,2008,2021,2023
"Life",16,16,1992,1992,2011
"14 1/4 to 30 years",7,7,2020,2020,2020
"30 years",7,14,2002,2009,2011
"Life",27,31,2015,2019,2019
"Life",11,11,2014,2014,2014
"1 year",0,0,2009,2009,2011
"Death",13,13,2008,2008,2011
"Life",7,8,2015,2016,2016
"Life",13,14,1994,1994,2011
"1 year and 6 months",0,0,2023,2023,2023
"Life",17,17,1999,1999,2011
"10 to 30 years",5,5,1998,1998,2011
"80 years",17,17,2001,2001,2011
"25 to Life",23,25,2021,2023,2023
"30 days",0,6,2009,2015,2015
"30 years",9,9,2013,2013,2013
"Life",26,26,2008,2008,2011
"35 years",5,5,1995,1995,2014
"45 days",0,0,2014,2014,2015
"6 months",0,3,1996,2000,2021
"45 days",0,0,2014,2014,2015
"34 years",8,40,1981,2012,2016
"14 years",3,3,2009,2009,2012
"16 years",3,3,2008,2008,2013
"3 years",1,5,2010,2014,2019
"Life",35,35,2019,2019,2019
"29 years and 8 months",6,6,2002,2002,2012
"30 days",0,6,2008,2015,2015
"2 years and 6 months",1,3,2007,2010,2016
"50 years",14,14,2018,2018,2018
"Probation",0,0,2019,2020,2020
"Life without parole",8,9,2020,2020,2020
"6 to 12 years",3,3,2008,2008,2011
"Life without parole",13,13,2022,2022,2023
"21 to 28 weeks",0,5,1995,2000,2012
"Life",4,4,2009,2009,2013
"9 to life",2,3,2021,2022,2022
"3 years and 7 months",0,1,2012,2012,2017
"Life without parole",34,35,2019,2019,2020
"31 to life",31,31,2022,2022,2022
"25 to Life",8,9,2008,2009,2011
"Life without parole",17,17,2023,2023,2023
"Life",2,2,1998,1998,2015
"6 months",0,7,2009,2016,2016
"Life",24,24,2022,2022,2023
"Community service",0,5,2012,2017,2020
"25 years",6,6,2016,2016,2016
"Life without parole",17,17,2020,2020,2020
"Life",21,22,2016,2018,2018
"49 years and six months",16,16,2019,2019,2019
"Not sentenced",0,0,1999,1999,2011
"Life",23,23,2005,2005,2011
"10 years",10,18,2008,2016,2016
"Life without parole",35,35,2017,2017,2017
"25 to 50 years",1,1,2019,2019,2019
"Life without parole",11,11,1999,1999,2013
"2 years",0,14,2008,2022,2022
"Probation",0,15,2006,2022,2022
"20 to 30 years",15,16,2004,2005,2011
"Not sentenced",1,1,1995,1995,2014
"Death",0,12,1987,2000,2011
"45 years",20,20,2017,2017,2019
"7 months",0,9,2012,2022,2022
"Life",10,17,1994,2001,2011
"8 months",0,10,2014,2023,2024
"Life",8,8,2006,2006,2011
"1 year and 5 months",1,6,2009,2014,2014
"90 days",0,7,2009,2017,2017
"15 years",0,4,1997,2001,2014
"Life",13,13,2009,2009,2011
"25 years",13,22,1999,2009,2011
"4 years",0,13,2005,2018,2018
"60 years",18,18,2013,2014,2014
"4 years",1,12,2007,2019,2019
"1 year",0,17,2004,2022,2022
"25 years to life",17,17,2024,2024,2024
"8 months",0,6,2007,2013,2013
"1 year and 6 months",0,13,2008,2022,2022
"Life without parole",20,20,2017,2017,2017
"Life without parole",37,37,2017,2017,2017
"Life",16,18,2015,2017,2019
"34 to Life",15,15,2010,2010,2011
"Probation",0,0,2017,2017,2017
"Not sentenced",0,0,2006,2006,2011
"Not sentenced",0,0,2006,2006,2011
"50 to life",16,17,2010,2011,2012
"50 years",24,29,2017,2022,2022
"84 years",4,5,2022,2023,2023
"50 years",2,7,1993,1998,2013
"1 year and 6 months",2,14,2006,2018,2018
"10 to 25 years",9,11,2013,2015,2015
"Life",38,38,2004,2004,2011
"Life without parole",16,16,2011,2011,2011
"13 years",1,3,2005,2007,2022
"2 years and 10 months",0,7,1998,2005,2011
"3 months and 25 days",0,17,2004,2022,2022
"2 years and 6 months",0,14,2007,2022,2022
"Life",9,10,1990,1990,2011
"12 1/2 to 25 years",11,22,2004,2015,2015
"3 years",2,2,2010,2010,2012
"1 year and 11 months",1,2,2011,2013,2013
"Life",19,19,2017,2017,2017
"20 years",20,28,2014,2022,2023
"50 to life",11,11,2020,2020,2020
"50 years",1,3,1996,1999,2015
"25 to life",26,27,2020,2020,2020
"40 years",8,19,2006,2017,2017
"3 days",0,3,2000,2003,2022
"6 years",2,18,2006,2022,2022
"5 years",1,1,2008,2008,2011
"24 days",0,5,2010,2016,2016
"5 years",2,2,2014,2014,2016
"6 years",3,4,2015,2015,2017
"22 to 32 years",3,4,2019,2020,2020
"Life",9,9,2012,2012,2013
"Not Sentenced",0,2,2002,2004,2012
"20 years",6,6,2021,2021,2022
"7 years",4,4,2003,2003,2014
"Life without parole",4,4,2016,2016,2016
"12 to 20 years",13,15,2016,2017,2017
"25 to life",15,15,2012,2012,2012
"25 to life",0,16,1997,2013,2013
"30 years",14,26,2012,2023,2023
"5 years",1,1,2009,2009,2022
"Life without parole",18,18,2020,2020,2020
"Life",10,10,1995,1995,2011
"Life without parole",7,29,1999,2021,2021
"15 years",1,1,2002,2002,2013
"30 years",4,4,2015,2015,2022
"16 to 48 years",25,26,2017,2018,2018
"15 years",12,18,1994,1999,2011
"30 years",15,16,2011,2012,2012
"Life",7,7,2013,2013,2013
"Death",0,2,1996,1999,2011
"15 to 50 years",10,18,2007,2014,2014
"30 to 45 years",5,5,2004,2004,2011
"Life",10,10,2001,2001,2011
"6 years",1,1,2001,2001,2014
"Unknown",5,5,1991,1991,2011
"25 years",3,3,2001,2001,2012
"10 years",4,15,1990,2000,2011
"16 years",9,26,2001,2018,2018
"2 years and 6 months",0,0,2006,2006,2016
"10 years",4,4,1991,1991,2012
"5 years and 4 months to 17 years",7,20,2009,2022,2022
"2 years and 2 months",0,4,2017,2021,2022
"Life",11,11,2002,2002,2015
"6 months",0,1,2003,2004,2013
"Death",3,3,2017,2017,2017
"Life",27,27,2002,2002,2011
"Probation",0,17,2004,2022,2022
"Life",10,11,2011,2012,2012
"20 years",4,4,2014,2014,2014
"Life",10,10,2000,2000,2011
"44 to 60 years",12,12,2003,2004,2011
"7 years",1,8,1990,1997,2016
"20 years",7,8,1999,2000,2011
"30 days",0,1,2014,2016,2016
"60 years",5,5,1999,1999,2011
"3 years",4,12,2000,2008,2015
"10 to Life",10,10,1999,1999,2011
"Life without parole",32,32,2021,2021,2021
"Life",23,23,2006,2006,2011
"Life",17,17,1997,1997,2012
"Death",11,24,1990,2004,2011
"10 years",4,6,2020,2022,2022
"41 to Life",3,3,2001,2001,2012
